"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PG(i-12:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C38H65O13P",NA,NA,NA,"HMDB0271119",58.768406961178,59.2787826953641,-0.00943032988807513,0.547876962545303,1
"胆管间隙 Bile Duct Gap","PG(i-12:0/PGF2alpha)","C38H69O13P",NA,NA,NA,"HMDB0271079",49.5314591700134,50.3389071465129,-0.0158730859442289,0.395639675999894,1
"胆管间隙 Bile Duct Gap","PG(i-12:0/PGJ2)","C38H65O12P",NA,NA,NA,"HMDB0271081",50.334672021419,51.7534614659376,0.00364688657372059,0.555002973287737,1
"胆管间隙 Bile Duct Gap","PGP(16:0/20:3(5Z,8Z,11Z)-O(14R,15S))","C42H76O14P2",NA,NA,NA,"HMDB0260453",84.2034805890228,87.5365339546912,-0.107828414277308,0.000877757597495657,1
"胆管间隙 Bile Duct Gap","PGP(16:0/20:3(5Z,8Z,11Z))","C42H78O13P2","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerophosphates","HMDB0013480",72.1552878179384,71.8084139212887,-0.00704575955589015,0.557783505020535,1
"胆管间隙 Bile Duct Gap","PGP(16:0/5-iso PGF2VI)","C40H74O16P2",NA,NA,NA,"HMDB0272336",99.0629183400268,97.5294965385341,0.00162759996638573,0.300329887893292,1
"胆管间隙 Bile Duct Gap","PGP(16:0/PGE2)","C42H76O16P2",NA,NA,NA,"HMDB0272316",70.1472556894244,70.777213587264,-0.0153900303910771,0.214460064219039,1
"胆管间隙 Bile Duct Gap","PGP(16:1(9Z)/16:1(9Z))","C38H72O13P2","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerophosphates","HMDB0013488",97.0548862115127,96.6656452872882,-0.0103852612927362,0.197826231712361,1
"胆管间隙 Bile Duct Gap","PGP(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","C42H74O13P2","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerophosphates","HMDB0013497",82.9986613119143,84.2713748888829,-0.0262276895303513,0.218497734340974,1
"胆管间隙 Bile Duct Gap","PGP(16:1(9Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C42H72O16P2",NA,NA,NA,"HMDB0272466",63.855421686747,59.3207041456779,0.0899850486722655,0.000380927647906115,1
"胆管间隙 Bile Duct Gap","PGP(16:1(9Z)/5-iso PGF2VI)","C40H72O16P2",NA,NA,NA,"HMDB0272440",55.2878179384203,50.0067343695283,0.0449371264973969,0.0219839936153699,1
"胆管间隙 Bile Duct Gap","PGP(16:1(9Z)/PGJ2)","C42H72O15P2",NA,NA,NA,"HMDB0272428",100,99.8087439053956,0.0610286720774318,0.000620319220809225,1
